YEAR,LOCATION,"REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
2013,UTAH,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","570,000","2,508,000",4.4," "
2013,UTAH,YEAR,HAY,"ALL PRODUCTION PRACTICES","735,000"," "," "," "
2013,UTAH,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","165,000"," "," "," "
2013,VERMONT,YEAR,HAY,"ALL PRODUCTION PRACTICES","170,000"," "," "," "
2013,VERMONT,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","140,000"," "," "," "
2013,VERMONT,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","30,000"," "," "," "
2013,VIRGINIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,200,000","3,000,000",2.5," "
2013,VIRGINIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,290,000"," "," "," "
2013,VIRGINIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","90,000","288,000",3.2," "
2013,WASHINGTON,YEAR,HAY,"ALL PRODUCTION PRACTICES","770,000"," "," "," "
2013,WASHINGTON,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","370,000","999,000",2.7," "
2013,WASHINGTON,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","400,000","2,000,000",5," "
2013,"WEST VIRGINIA",YEAR,HAY,"ALL PRODUCTION PRACTICES","628,000"," "," "," "
2013,"WEST VIRGINIA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","18,000"," "," "," "
2013,"WEST VIRGINIA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","610,000","1,220,000",2," "
2013,WISCONSIN,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,280,000","4,096,000",3.2," "
2013,WISCONSIN,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","500,000","950,000",1.9," "
2013,WISCONSIN,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,780,000"," "," "," "
2013,WYOMING,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","500,000","700,000",1.4," "
2013,WYOMING,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","450,000","1,260,000",2.8," "
2013,WYOMING,YEAR,HAY,"ALL PRODUCTION PRACTICES","950,000"," "," "," "
2012,ALABAMA,YEAR,HAY,"ALL PRODUCTION PRACTICES","860,000","2,236,000",2.6,"194,532,000"
2012,ALABAMA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","860,000","2,236,000",2.6,"194,532,000"
2012,ALASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","22,000","27,000",1.23,"8,505,000"
2012,ARIZONA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","250,000","2,100,000",8.4,"470,400,000"
2012,ARIZONA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","45,000","216,000",4.8,"42,768,000"
2012,ARIZONA,YEAR,HAY,"ALL PRODUCTION PRACTICES","295,000","2,316,000",7.85,"513,168,000"
2012,ARKANSAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","10,000","20,000",2,"4,320,000"
2012,ARKANSAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,440,000","1,728,000",1.2,"228,096,000"
2012,ARKANSAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,450,000","1,748,000",1.21,"232,416,000"
2012,CALIFORNIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","950,000","6,555,000",6.9,"1,383,105,000"
2012,CALIFORNIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,550,000","8,715,000",5.62,"1,782,705,000"
2012,CALIFORNIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","600,000","2,160,000",3.6,"399,600,000"
2012,COLORADO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","710,000","1,136,000",1.6,"240,832,000"
2012,COLORADO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","750,000","2,625,000",3.5,"622,125,000"
2012,COLORADO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,460,000","3,761,000",2.58,"862,957,000"
2012,CONNECTICUT,YEAR,HAY,"ALL PRODUCTION PRACTICES","58,000","118,000",2.03,"27,917,000"
2012,CONNECTICUT,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","7,000","21,000",3,"5,607,000"
2012,CONNECTICUT,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","51,000","97,000",1.9,"22,310,000"
2012,DELAWARE,YEAR,HAY,"ALL PRODUCTION PRACTICES","16,000","42,000",2.63,"10,032,000"
2012,DELAWARE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","6,000","16,000",2.7,"4,208,000"
2012,DELAWARE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","10,000","26,000",2.6,"5,824,000"
2012,FLORIDA,YEAR,HAY,"ALL PRODUCTION PRACTICES","320,000","736,000",2.3,"122,912,000"
2012,FLORIDA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","320,000","736,000",2.3,"122,912,000"
2012,GEORGIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","580,000","1,450,000",2.5,"85,550,000"
2012,GEORGIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","580,000","1,450,000",2.5,"85,550,000"
2012,IDAHO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","300,000","600,000",2,"81,600,000"
2012,IDAHO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,340,000","4,760,000",3.55,"880,320,000"
2012,IDAHO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,040,000","4,160,000",4,"798,720,000"
2012,ILLINOIS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","250,000","500,000",2,"59,500,000"
2012,ILLINOIS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","330,000","990,000",3,"164,340,000"
2012,ILLINOIS,YEAR,HAY,"ALL PRODUCTION PRACTICES","580,000","1,490,000",2.57,"223,840,000"
2012,INDIANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","350,000","665,000",1.9,"108,395,000"
2012,INDIANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","630,000","1,477,000",2.34,"307,335,000"
2012,INDIANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","280,000","812,000",2.9,"198,940,000"
2012,IOWA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","730,000","2,117,000",2.9,"427,634,000"
2012,IOWA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,140,000","2,814,000",2.47,"519,638,000"
2012,IOWA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","410,000","697,000",1.7,"92,004,000"
2012,KANSAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,750,000","4,340,000",1.58,"707,840,000"
2012,KANSAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","650,000","1,820,000",2.8,"400,400,000"
2012,KANSAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,100,000","2,520,000",1.2,"307,440,000"
2012,KENTUCKY,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,200,000","4,400,000",2,"378,400,000"
2012,KENTUCKY,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","180,000","522,000",2.9,"100,224,000"
2012,KENTUCKY,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,380,000","4,922,000",2.07,"478,624,000"
2012,LOUISIANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","460,000","1,242,000",2.7,"149,040,000"
2012,LOUISIANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","460,000","1,242,000",2.7,"149,040,000"
2012,MAINE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","10,000","14,000",1.4,"3,178,000"
2012,MAINE,YEAR,HAY,"ALL PRODUCTION PRACTICES","130,000","206,000",1.58,"37,738,000"
2012,MAINE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","120,000","192,000",1.6,"34,560,000"
2012,MARYLAND,YEAR,HAY,"ALL PRODUCTION PRACTICES","205,000","514,000",2.51,"120,167,000"
2012,MARYLAND,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","30,000","129,000",4.3,"33,927,000"
2012,MARYLAND,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","175,000","385,000",2.2,"86,240,000"
2012,MASSACHUSETTS,YEAR,HAY,"ALL PRODUCTION PRACTICES","69,000","142,000",2.06,"31,028,000"
2012,MASSACHUSETTS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","60,000","120,000",2,"25,440,000"
2012,MASSACHUSETTS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","9,000","22,000",2.4,"5,588,000"
2012,MICHIGAN,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","310,000","465,000",1.5,"68,355,000"
2012,MICHIGAN,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","660,000","1,386,000",2.1,"228,690,000"
2012,MICHIGAN,YEAR,HAY,"ALL PRODUCTION PRACTICES","970,000","1,851,000",1.91,"297,045,000"
2012,MINNESOTA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","900,000","1,530,000",1.7,"182,070,000"
2012,MINNESOTA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,750,000","3,995,000",2.28,"628,235,000"
2012,MINNESOTA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","850,000","2,465,000",2.9,"446,165,000"
2012,MISSISSIPPI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","750,000","1,950,000",2.6,"138,450,000"
2012,MISSISSIPPI,YEAR,HAY,"ALL PRODUCTION PRACTICES","750,000","1,950,000",2.6,"138,450,000"
