YEAR,name,REFERENCE PERIOD,COMMODITY,PRODN PRACTICE,AREA HARVESTED in ACRES,tons-produced,dollars,price-per-ton,yield-tons-per-acre
1997,Maryland,YEAR,HAY,ALL PRODUCTION PRACTICES,"200,000",501000,68220000,136,2.51
1997,Massachusetts,YEAR,HAY,ALL PRODUCTION PRACTICES,"92,000",167000,24049000,144,1.82
1997,Michigan,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,250,000",3760000,378530000,100,3.01
1997,Minnesota,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,325,000",6398000,570394000,89,2.75
1997,Mississippi,YEAR,HAY,ALL PRODUCTION PRACTICES,"720,000",1800000,76500000,42,2.5
1997,Missouri,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,650,000",7340000,521420000,71,2.01
1997,Montana,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,600,000",5480000,421680000,76,2.11
1997,Nebraska,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,200,000",6790000,485941000,71,2.12
1997,Nevada,YEAR,HAY,ALL PRODUCTION PRACTICES,"490,000",1506000,153690000,102,3.07
1997,New Hampshire,YEAR,HAY,ALL PRODUCTION PRACTICES,"62,000",105000,14331000,136,1.69
1997,New Jersey,YEAR,HAY,ALL PRODUCTION PRACTICES,"120,000",282000,33711000,119,2.35
1997,New Mexico,YEAR,HAY,ALL PRODUCTION PRACTICES,"345,000",1497000,184989000,123,4.34
1997,New York,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,530,000",3444000,326330000,94,2.25
1997,North Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"650,000",1383000,115986000,83,2.13
1997,North Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,150,000",4375000,246750000,56,1.39
1997,Ohio,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,250,000",3850000,499110000,129,3.08
1997,Oklahoma,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,560,000",5108000,332422000,65,2
1997,Oregon,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,035,000",3266000,361020000,110,3.16
1997,Pennsylvania,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,870,000",4106000,577558000,140,2.2
1997,Rhode Island,YEAR,HAY,ALL PRODUCTION PRACTICES,"8,000",16000,2303000,143,2
1997,South Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"300,000",630000,53550000,85,2.1
1997,South Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"4,100,000",7810000,570995000,73,1.9
1997,Tennessee,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,740,000",3702000,207036000,55,2.13
1997,Texas,YEAR,HAY,ALL PRODUCTION PRACTICES,"4,435,000",10955000,715880000,65,2.47
1997,Utah,YEAR,HAY,ALL PRODUCTION PRACTICES,"715,000",2718000,223176000,82,3.8
1997,Vermont,YEAR,HAY,ALL PRODUCTION PRACTICES,"265,000",522000,68370000,130,1.97
1997,Virginia,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,170,000",2273000,187854000,82,1.94
1997,Washington,YEAR,HAY,ALL PRODUCTION PRACTICES,"780,000",3084000,361824000,117,3.95
1997,West Virginia,YEAR,HAY,ALL PRODUCTION PRACTICES,"575,000",1101000,63849000,57,1.91
1997,Wisconsin,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,370,000",6353000,584450000,91,2.68
1997,Wyoming,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,260,000",2596000,215444000,82,2.06
1996,Alabama,YEAR,HAY,ALL PRODUCTION PRACTICES,"730,000",1752000,85848000,49,2.4
1996,Arizona,YEAR,HAY,ALL PRODUCTION PRACTICES,"179,000",1347000,126592000,93,7.53
1996,Arkansas,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,175,000",2360000,134300000,56,2.01
1996,California,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,450,000",8008000,840896000,105,5.52
1996,Colorado,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,510,000",4180000,402120000,96,2.77
1996,Connecticut,YEAR,HAY,ALL PRODUCTION PRACTICES,"80,000",162000,20314000,125,2.03
1996,Delaware,YEAR,HAY,ALL PRODUCTION PRACTICES,"15,000",64000,7872000,123,4.27
1996,Florida,YEAR,HAY,ALL PRODUCTION PRACTICES,"240,000",624000,52416000,84,2.6
1996,Georgia,YEAR,HAY,ALL PRODUCTION PRACTICES,"600,000",1680000,105000000,62,2.8
1996,Idaho,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,280,000",4760000,450240000,94,3.72
1996,Illinois,YEAR,HAY,ALL PRODUCTION PRACTICES,"950,000",2860000,302280000,105,3.01
